Filing Date,Docket Number,Regional Entity,Registered Entity,NCR ID (NERC Compliance Registry Identifier),Total Penalty ($) (The total penalty amount represents an aggregate amount for the filing; it does not represent an amount per violation.),NERC Violation ID,Reliability Standard,Req.,"Violation Risk Factor (Lower, Medium, High)","Risk Assessment (Minimal, Moderate, Serious)",Mitigation Completion Date,Notice of No Further Review Issued
12/30/2020,NP21-5-000,RF,Michigan Power LP,NCR11409,0,RFC2019021748,VAR-002-4.1,R2,Medium,Moderate,43473,
12/30/2020,NP21-5-000,RF,METC,NCR00820,125000,RFC2017017946,FAC-008-1,R1,Lower,Moderate,44561,
11/30/2020,NP21-4-000,WECC,Southern California Edison Company ,NCR05398,296000,WECC2017018527,FAC-003-3 ,R2,High,Moderate,43686,X
11/30/2020,NP21-4-000,WECC,Southern California Edison Company ,NCR05398,296000,WECC2018020303,FAC-003-3,R6,Medium,Moderate,43921,X
11/30/2020,NP21-2-000,WECC,"sPower Services, LLC",NCR11679,22000,WECC2017017218,VAR-002-4,R3,Medium,Minimal,42795,X
11/30/2020,NP21-2-000,WECC,"sPower Services, LLC",NCR11679,22000,WECC2018019434,VAR-002-4.1,R4,Medium,Minimal,43182,X
11/30/2020,NP21-2-000,WECC,"sPower Services, LLC",NCR11679,22000,WECC2018020372,VAR-002-4.1,R5,Medium,Minimal,43440,X
11/30/2020,NP21-2-000,WECC,"sPower Services, LLC",NCR11679,22000,WECC2019022519,VAR-002-4.1,R6,Medium,Minimal,43781,X
11/30/2020,NP21-2-000,WECC,Sacramento Municipal Utility District (SMUD),NCR05368,26000,WECC2019022212,FAC-008-3,R2,Medium,Moderate,43802,X
11/30/2020,NP21-2-000,WECC,Sacramento Municipal Utility District (SMUD),NCR05368,26000,WECC2019022213,FAC-008-3,R3,Medium,Moderate,43802,X
11/30/2020,NP21-2-000,Texas RE,Oncor Electric Delivery Company LLC (Oncor) ,NCR04109,192000,TRE2018019658,FAC-008-3,R6,Medium,Moderate,44082,X
11/30/2020,NP21-2-000,Texas RE,Oncor Electric Delivery Company LLC (Oncor) ,NCR04109,192000,TRE2018019659,FAC-008-3,R8,Medium,Moderate,44082,X
11/30/2020,NP21-2-000,RF,Twin Ridges Wind Farm,NCR11280,0,RFC2019021935,PRC-019-2,R1,Medium,Moderate,44001,X
